Objeto;Denomin.;Familia;Espesor;Ancho;kerf;PrecodPP;Escuadria;Status
1208072;PPCMASTRGVESD 18x202xRL;MA;18.0;202.0;;MA18202;MA 18x202;True
1208073;PPCMASTRGSESD 18x202xRL;MA;18.0;202.0;;MA18202;MA 18x202;True
1208076;PPCMASTRGVESD 38x104xRL;MA;38.0;104.0;;MA38104;MA 38x104;True
1208078;PPCMASTRGSESD 38x104xRL;MA;38.0;104.0;;MA38104;MA 38x104;True
1208082;PPCMASTRGVESD 32x202xRL;MA;32.0;202.0;;MA32202;MA 32x202;True
1208083;PPCMASTRGSESD 32x202xRL;MA;32.0;202.0;;MA32202;MA 32x202;True
1208094;PPCMASTRGVESD 38x89xRL;MA;38.0;89.0;;MA3889;MA 38x89;True
1208095;PPCMASTRGSESD 38x89xRL;MA;38.0;89.0;;MA3889;MA 38x89;True
1208111;PPLMAPRRGVESD 50x98xRL;MA;50.0;98.0;;MA5098;MA 50x98;True
1208112;PPLMAPRRGSESD 50x98xRL;MA;50.0;98.0;;MA5098;MA 50x98;True
1208153;PPCMASPRGVESD 89x129xRL;MA;89.0;129.0;;MA89129;MA 89x129;True
1208154;PPCMASPRGSESD 89x129xRL;MA;89.0;129.0;;MA89129;MA 89x129;True
1208162;PPCMASTRGVESD 16x140xRL;MA;16.0;140.0;;MA16140;MA 16x140;True
1208163;PPCMASTRGSESD 16x140xRL;MA;16.0;140.0;;MA16140;MA 16x140;True
1208174;PPCMASTRGVESD 18x147xRL;MA;18.0;147.0;;MA18147;MA 18x147;True
1208175;PPCMASTRGSESD 18x147xRL;MA;18.0;147.0;;MA18147;MA 18x147;True
1208178;PPCMASTRGVESD 18x124xRL;MA;18.0;124.0;;MA18124;MA 18x124;True
1208179;PPCMASTRGSESD 18x124xRL;MA;18.0;124.0;;MA18124;MA 18x124;True
1208183;PPCMASPRGVESD 18x104xRL;MA;18.0;104.0;;MA18104;MA 18x104;True
1208184;PPCMASPRGSESD 18x104xRL;MA;18.0;104.0;;MA18104;MA 18x104;True
1208211;PPCMASTRGVESD 18x150xRL;MA;18.0;150.0;;MA18150;MA 18x150;True
1208212;PPCMASTRGSESD 18x150xRL;MA;18.0;150.0;;MA18150;MA 18x150;True
1208222;PPLMASTRGVESD 18x129xRL;MA;18.0;129.0;;MA18129;MA 18x129;True
1208223;PPLMASTRGSESD 18x129xRL;MA;18.0;129.0;;MA18129;MA 18x129;True
1208225;PPLMASTRGVESD 18x150xRL;MA;18.0;150.0;;MA18150;MA 18x150;True
1208226;PPLMASTRGSESD 18x150xRL;MA;18.0;150.0;;MA18150;MA 18x150;True
1208228;PPLMASTRGVESD 18x202xRL;MA;18.0;202.0;;MA18202;MA 18x202;True
1208229;PPLMASTRGSESD 18x202xRL;MA;18.0;202.0;;MA18202;MA 18x202;True
1208232;PPLMASTRGVESD 16x129xRL;MA;16.0;129.0;;MA16129;MA 16x129;True
1208233;PPLMASTRGSESD 16x129xRL;MA;16.0;129.0;;MA16129;MA 16x129;True
1208234;PPLMASTRGVESD 16x150xRL;MA;16.0;150.0;;MA16150;MA 16x150;True
1208235;PPLMASTRGSESD 16x150xRL;MA;16.0;150.0;;MA16150;MA 16x150;True
1208253;PPCMASTRGVESD 18x140xRL;MA;18.0;140.0;;MA18140;MA 18x140;True
1208254;PPCMASTRGSESD 18x140xRL;MA;18.0;140.0;;MA18140;MA 18x140;True
1208263;PPCMASTRGVESD 26x260xRL;MA;26.0;260.0;;MA26260;MA 26x260;True
1208264;PPCMASTRGSESD 26x260xRL;MA;26.0;260.0;;MA26260;MA 26x260;True
1208324;PPLMASTRGVESD 16x130xRL;MA;16.0;130.0;;MA16130;MA 16x130;True
1208325;PPLMASTRGVESD 16x151xRL;MA;16.0;151.0;;MA16151;MA 16x151;True
1208330;PPLMASTRGVESD 18x130xRL;MA;18.0;130.0;;MA18130;MA 18x130;True
1208331;PPLMASTRGVESD 18x151xRL;MA;18.0;151.0;;MA18151;MA 18x151;True
1208332;PPLMASTRGVESD 18x203xRL;MA;18.0;203.0;;MA18203;MA 18x203;True
1208333;PPLMASTRGVESD 20x130xRL;MA;20.0;130.0;;MA20130;MA 20x130;True
1208334;PPLMASTRGVESD 20x151xRL;MA;20.0;151.0;;MA20151;MA 20x151;True
1208335;PPLMASTRGVESD 20x158xRL;MA;20.0;158.0;;MA20158;MA 20x158;True
1208336;PPLMASTRGVESD 20x203xRL;MA;20.0;203.0;;MA20203;MA 20x203;True
1208342;PPCMASPRGVESD 23x96xRL;MA;23.0;96.0;;MA2396;MA 23x96;True
1208343;PPCMASPRGVESD 23x99xRL;MA;23.0;99.0;;MA2399;MA 23x99;True
1208344;PPCMASPRGVESD 23x200xRL;MA;23.0;200.0;;MA23200;MA 23x200;True
1208345;PPCMAPRRGVESD 23x96xRL;MA;23.0;96.0;;MA2396;MA 23x96;True
1208351;PPLMASPRGVESD 23x149xRL;MA;23.0;149.0;;MA23149;MA 23x149;True
1208352;PPLMASPRGVESD 23x130xRL;MA;23.0;130.0;;MA23130;MA 23x130;True
1208353;PPLMASPRGVESD 23x151xRL;MA;23.0;151.0;;MA23151;MA 23x151;True
1208354;PPLMASPRGVESD 23x203xRL;MA;23.0;203.0;;MA23203;MA 23x203;True
1208355;PPLMASTRGVESD 23x203xRL;MA;23.0;203.0;;MA23203;MA 23x203;True
1208361;PPLMASPRGVESD 26x151xRL;MA;26.0;151.0;;MA26151;MA 26x151;True
1208362;PPLMASPRGVESD 26x149xRL;MA;26.0;149.0;;MA26149;MA 26x149;True
1208384;PPCMASTRGVESD 37x104xRL;MA;37.0;104.0;;MA37104;MA 37x104;True
1208385;PPCMASTRGVESD 37x89xRL;MA;37.0;89.0;;MA3789;MA 37x89;True
1208387;PPCMASPRGVESD 43x148xRL;MA;43.0;148.0;;MA43148;MA 43x148;True
1208388;PPCMASPRGVESD 43x194xRL;MA;43.0;194.0;;MA43194;MA 43x194;True
1208389;PPCMASPRGVESD 43x96xRL;MA;43.0;96.0;;MA4396;MA 43x96;True
1208390;PPCMASTRGVESD 43x148xRL;MA;43.0;148.0;;MA43148;MA 43x148;True
1208391;PPCMASTRGVESD 43x96xRL;MA;43.0;96.0;;MA4396;MA 43x96;True
1208392;PPCMASTRGVESD 43x194xRL;MA;43.0;194.0;;MA43194;MA 43x194;True
1208397;PPCMAPRRGVESD 50x130xRL;MA;50.0;130.0;;MA50130;MA 50x130;True
1208402;PPCMAPRRGVESD 50x200xRL;MA;50.0;200.0;;MA50200;MA 50x200;True
1208404;PPLMAPRRGVESD 50x130xRL;MA;50.0;130.0;;MA50130;MA 50x130;True
1208405;PPLMAPRRGVESD 50x149xRL;MA;50.0;149.0;;MA50149;MA 50x149;True
1208406;PPCMAPRRGVESD 75x200xRL;MA;75.0;200.0;;MA75200;MA 75x200;True
1208407;PPCMASPRGVESD 96x96xRL;MA;96.0;96.0;;MA9696;MA 96x96;True
1208408;PPLMASTRGSESD 16x130xRL;MA;16.0;130.0;;MA16130;MA 16x130;True
1208409;PPLMASTRGSESD 16x151xRL;MA;16.0;151.0;;MA16151;MA 16x151;True
1208414;PPLMASTRGSESD 18x130xRL;MA;18.0;130.0;;MA18130;MA 18x130;True
1208415;PPLMASTRGSESD 18x151xRL;MA;18.0;151.0;;MA18151;MA 18x151;True
1208416;PPLMASTRGSESD 18x203xRL;MA;18.0;203.0;;MA18203;MA 18x203;True
1208417;PPLMASTRGSESD 20x130xRL;MA;20.0;130.0;;MA20130;MA 20x130;True
1208418;PPLMASTRGSESD 20x151xRL;MA;20.0;151.0;;MA20151;MA 20x151;True
1208419;PPLMASTRGSESD 20x158xRL;MA;20.0;158.0;;MA20158;MA 20x158;True
1208420;PPLMASTRGSESD 20x203xRL;MA;20.0;203.0;;MA20203;MA 20x203;True
1208426;PPCMASPRGSESD 23x96xRL;MA;23.0;96.0;;MA2396;MA 23x96;True
1208427;PPCMASPRGSESD 23x99xRL;MA;23.0;99.0;;MA2399;MA 23x99;True
